HLA,EquivalentHLA
A1,A1
A2,A2;A203;A210
A3,A3
A9,A9;A23;A24;A2403
A10,A10;A25;A26;A34;A66;A6601;A6602
A11,A11
A19,A19;A29;A30;A31;A32;A33;A74
A23,A23
A24,A24;A403
A25,A25
A26,A26
A28,A28;A68;A69
A29,A29
A30,A30
A31,A31
A32,A32
A33,A33
A34,A34
A36,A36
A43,A43
A66,A66;A016;A602
A68,A68
A69,A69
A74,A74
A80,A80
A203,A203
A210,A210
A2403,A2403
A6601,A6601
A6602,A6602
B5,B5;B51;B5102;B5103;B52;B78
B7,B7;B703;B2708
B8,B8
B12,B12;B44;B45
B13,B13
B14,B14;B64;B65
B15,B15;B62;B63;B75;B76;B77
B16,B16;B38;B39
B17,B17;B57;B58
B18,B18
B21,B21;B49;B50;B4005
B22,B22;B54;B55;B56
B27,B27;B708
B35,B35
B37,B37
B38,B38
B39,B39;B3901;B3902;B3905
B40,B40;B60;B61
B41,B41
B42,B42
B44,B44
B45,B45
B46,B46
B47,B47
B48,B48
B49,B49
B50,B50;B4005
B51,B51;B5102;B5103
B52,B52
B53,B53;B102
B54,B54
B55,B55
B56,B56
B57,B57
B58,B58
B59,B59
B60,B60
B61,B61
B62,B62
B63,B63
B64,B64
B65,B65
B67,B67
B70,B70;B71;B72
B71,B71
B72,B72
B73,B73
B75,B75
B76,B76
B77,B77
B78,B78
B81,B81
B82,B82;B8201
B703,B703
B804,B804
B1304,B1304
B2708,B2708
B3901,B3901
B3902,B3902
B3905,B3905
B4005,B4005
B5102,B5102
B5103,B5103
B8201,B8201
BW4,B5;B13;B17;B27;B37;B38;B44;B47;B49;B51;B52;B53;B57;B58;B59;B63;B77;BW4
BW6,B7;B8;B14;B18;B22;B35;B39;B40;B41;B42;B45;B46;B48;B50;B4005;B54;B55;B56;B60;B61;B62;B64;B65;B67;B70;B71;B72;B73;B75;B76;B78;B81;BW6
CW1,CW1
CW2,CW2
CW3,CW3;CW9;CW10
CW4,CW4
CW5,CW5
CW6,CW6
CW7,CW7
CW8,CW8
CW9,CW9
CW10,CW10
CW12,CW12
CW13,CW13
CW14,CW14
CW15,CW15
CW16,CW16
CW17,CW17
CW18,CW18
DQ1,DQ1;DQ5;DQ6
DQ2,DQ2
DQ3,DQ3;DQ7;DQ8;DQ9
DQ4,DQ4
DQ5,DQ5
DQ6,DQ6
DQ7,DQ7
DQ8,DQ8
DQ9,DQ9
DQB1,DQB1;DQB5;DQB6
DQB2,DQB2
DQB3,DQB3;DQB7;DQB8;DQB9
DQB4,DQB4
DQB5,DQB5
DQB6,DQB6
DQB7,DQB7
DQB8,DQB8
DQB9,DQB9
DR1,DR1;DR103
DR2,DR2;DR15;DR16
DR3,DR3;DR17;DR18
DR4,DR4
DR5,DR5;DR11;DR12
DR6,DR6;DR13;DR14;DR1403;DR1404
DR7,DR7
DR8,DR8
DR9,DR9
DR10,DR10
DR11,DR11
DR12,DR12
DR13,DR13
DR14,DR14;DR1403;DR1404
DR15,DR15
DR16,DR16
DR17,DR17
DR18,DR18
DR103,DR103
DR1403,DR1403
DR1404,DR1404
DR51,DR51;DR2;DR15;DR16
DR52,DR52;DR3;DR5;DR6;DR11;DR12;DR13;DR14;DR17;DR18
DR53,DR53;DR4;DR7;DR9
