Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
1,2,15;109,Yes,0
2,3,15;16;109,Yes,0.6561
3,4,15;16;19;109,Yes,0.851683
4,5,15;16;19;22;109,Yes,0.886906
5,5,15;16;19;23;109,Yes,0.851683
6,5,15;16;19;34;109,Yes,0.886906
7,5,15;16;19;35;109,Yes,0.886906
8,5,15;16;19;43;109,Yes,0.886906
9,5,15;16;19;44;109,Yes,1.3652
10,5,15;16;19;47;109,Yes,0.886906
11,5,15;16;19;54;109,Yes,0.851683
12,5,15;16;19;59;109,Yes,0.886906
13,5,15;16;19;60;109,Yes,0.886906
14,5,15;16;19;64;109,Yes,0.886906
15,5,15;16;19;70;109,Yes,0.886906
16,5,15;16;19;75;109,Yes,0.886906
17,5,15;16;19;79;109,Yes,0.851683
18,5,15;16;19;81;109,Yes,0.886906
19,5,15;16;19;84;109,Yes,0.886906
20,5,15;16;19;85;109,Yes,0.886906
21,5,15;16;19;91;109,Yes,1.50778
22,5,15;16;19;92;109,Yes,0.886906
23,5,15;16;19;93;109,Yes,0.886906
24,5,15;16;19;95;109,Yes,0.886906
25,5,15;16;19;96;109,Yes,0.886906
26,5,15;16;19;99;109,Yes,0.886906
27,5,15;16;19;100;109,Yes,0.886906
28,5,15;16;19;101;109,Yes,0.851683
29,5,15;16;19;102;109,Yes,0.886906
30,5,15;16;19;103;109,Yes,0.886906
31,5,15;16;19;108;109,Yes,0.886906
32,4,15;16;22;109,Yes,0.833903
33,5,15;16;22;23;109,Yes,0.833903
34,5,15;16;22;34;109,Yes,0.882088
35,5,15;16;22;35;109,Yes,0.882088
36,5,15;16;22;43;109,Yes,0.882088
37,5,15;16;22;44;109,Yes,1.36038
38,5,15;16;22;47;109,Yes,0.882088
39,5,15;16;22;54;109,Yes,0.833903
40,5,15;16;22;59;109,Yes,0.882088
41,5,15;16;22;60;109,Yes,0.882088
42,5,15;16;22;64;109,Yes,0.882088
43,5,15;16;22;70;109,Yes,0.882088
44,5,15;16;22;75;109,Yes,0.882088
45,5,15;16;22;79;109,Yes,0.833903
46,5,15;16;22;81;109,Yes,0.882088
47,5,15;16;22;84;109,Yes,0.882088
48,5,15;16;22;85;109,Yes,0.882088
49,5,15;16;22;91;109,Yes,1.49
50,5,15;16;22;92;109,Yes,0.882088
51,5,15;16;22;93;109,Yes,0.882088
52,5,15;16;22;95;109,Yes,0.882088
53,5,15;16;22;96;109,Yes,0.882088
54,5,15;16;22;99;109,Yes,0.882088
55,5,15;16;22;100;109,Yes,0.882088
56,5,15;16;22;101;109,Yes,0.833903
57,5,15;16;22;102;109,Yes,0.882088
58,5,15;16;22;103;109,Yes,0.882088
59,5,15;16;22;108;109,Yes,0.882088
60,5,15;16;22;83;109,Yes,1.89421
61,4,15;16;23;109,Yes,0.6561
62,5,15;16;23;34;109,Yes,0.833903
63,5,15;16;23;35;109,Yes,0.833903
64,5,15;16;23;43;109,Yes,0.833903
65,5,15;16;23;44;109,Yes,1.3122
66,5,15;16;23;47;109,Yes,0.833903
67,5,15;16;23;54;109,Yes,0.6561
68,5,15;16;23;59;109,Yes,0.833903
69,5,15;16;23;60;109,Yes,0.833903
70,5,15;16;23;64;109,Yes,0.833903
71,5,15;16;23;70;109,Yes,0.833903
72,5,15;16;23;75;109,Yes,0.833903
73,5,15;16;23;79;109,Yes,0.6561
74,5,15;16;23;81;109,Yes,0.833903
75,5,15;16;23;84;109,Yes,0.833903
76,5,15;16;23;85;109,Yes,0.833903
77,5,15;16;23;91;109,Yes,1.3122
78,5,15;16;23;92;109,Yes,0.833903
79,5,15;16;23;93;109,Yes,0.833903
80,5,15;16;23;95;109,Yes,0.833903
81,5,15;16;23;96;109,Yes,0.833903
82,5,15;16;23;99;109,Yes,0.833903
83,5,15;16;23;100;109,Yes,0.833903
84,5,15;16;23;101;109,Yes,0.6561
85,5,15;16;23;102;109,Yes,0.833903
86,5,15;16;23;103;109,Yes,0.833903
87,5,15;16;23;108;109,Yes,0.833903
88,4,15;16;34;109,Yes,0.833903
89,5,15;16;34;35;109,Yes,0.882088
90,5,15;16;34;43;109,Yes,0.882088
91,5,15;16;34;44;109,Yes,1.36038
92,5,15;16;34;47;109,Yes,0.882088
93,5,15;16;34;54;109,Yes,0.833903
94,5,15;16;34;59;109,Yes,0.882088
95,5,15;16;34;60;109,Yes,0.882088
96,5,15;16;34;64;109,Yes,0.882088
97,5,15;16;34;70;109,Yes,0.882088
98,5,15;16;34;75;109,Yes,0.882088
99,5,15;16;34;79;109,Yes,0.833903
100,5,15;16;34;81;109,Yes,0.882088
101,5,15;16;34;84;109,Yes,0.882088
102,5,15;16;34;85;109,Yes,0.882088
103,5,15;16;34;91;109,Yes,1.49
104,5,15;16;34;92;109,Yes,0.882088
105,5,15;16;34;93;109,Yes,0.882088
106,5,15;16;34;95;109,Yes,0.882088
107,5,15;16;34;96;109,Yes,0.882088
