Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
1,2,109;16,Yes,1
2,2,109;19,Yes,1
3,2,109;22,Yes,1
4,3,109;22;83,Yes,2
5,4,109;22;83;16,Yes,3
6,4,109;22;83;30,Yes,3
7,4,109;22;83;35,Yes,3
8,4,109;22;83;47,Yes,3
9,4,109;22;83;60,Yes,3
10,4,109;22;83;64,Yes,3
11,4,109;22;83;70,Yes,3
12,4,109;22;83;75,Yes,3
13,4,109;22;83;77,Yes,3
14,4,109;22;83;81,Yes,3
15,4,109;22;83;84,Yes,3
16,4,109;22;83;85,Yes,3
17,4,109;22;83;88,Yes,3
18,4,109;22;83;92,Yes,3
19,4,109;22;83;93,Yes,3
20,4,109;22;83;96,Yes,3
21,4,109;22;83;98,Yes,3
22,4,109;22;83;100,Yes,3
23,4,109;22;83;102,Yes,3
24,4,109;22;83;103,Yes,3
25,4,109;22;83;108,Yes,3
26,2,109;34,Yes,1
27,3,109;34;108,Yes,2
28,4,109;34;108;71,Yes,3
29,2,109;35,Yes,1
30,2,109;43,Yes,1
31,2,109;44,Yes,1
32,3,109;44;16,Yes,2
33,3,109;44;47,Yes,2
34,4,109;44;47;71,Yes,3
35,4,109;44;47;83,Yes,3
36,4,109;44;47;108,Yes,3
37,3,109;44;59,Yes,2
38,3,109;44;60,Yes,2
39,4,109;44;60;108,Yes,3
40,3,109;44;64,Yes,2
41,4,109;44;64;108,Yes,3
42,3,109;44;67,Yes,2
43,4,109;44;67;108,Yes,3
44,3,109;44;81,Yes,2
45,4,109;44;81;71,Yes,3
46,4,109;44;81;108,Yes,3
47,3,109;44;83,Yes,2
48,4,109;44;83;16,Yes,3
49,4,109;44;83;22,Yes,3
50,4,109;44;83;30,Yes,3
51,4,109;44;83;35,Yes,3
52,4,109;44;83;47,Yes,3
53,4,109;44;83;60,Yes,3
54,4,109;44;83;64,Yes,3
55,4,109;44;83;70,Yes,3
56,4,109;44;83;75,Yes,3
57,4,109;44;83;77,Yes,3
58,4,109;44;83;81,Yes,3
59,4,109;44;83;84,Yes,3
60,4,109;44;83;85,Yes,3
61,4,109;44;83;88,Yes,3
62,4,109;44;83;92,Yes,3
63,4,109;44;83;93,Yes,3
64,4,109;44;83;96,Yes,3
65,4,109;44;83;98,Yes,3
66,4,109;44;83;100,Yes,3
67,4,109;44;83;102,Yes,3
68,4,109;44;83;103,Yes,3
69,4,109;44;83;108,Yes,3
70,3,109;44;84,Yes,2
71,4,109;44;84;103,Yes,3
72,3,109;44;85,Yes,2
73,4,109;44;85;108,Yes,3
74,3,109;44;86,Yes,2
75,4,109;44;86;108,Yes,3
76,3,109;44;91,Yes,2
77,4,109;44;91;16,Yes,3
78,4,109;44;91;19,Yes,3
79,4,109;44;91;22,Yes,3
80,4,109;44;91;34,Yes,3
81,4,109;44;91;35,Yes,3
82,4,109;44;91;43,Yes,3
83,4,109;44;91;47,Yes,3
84,4,109;44;91;53,Yes,3
85,4,109;44;91;59,Yes,3
86,4,109;44;91;60,Yes,3
87,4,109;44;91;61,Yes,3
88,4,109;44;91;64,Yes,3
89,4,109;44;91;67,Yes,3
90,4,109;44;91;75,Yes,3
91,4,109;44;91;77,Yes,3
92,4,109;44;91;81,Yes,3
93,4,109;44;91;83,Yes,3
94,4,109;44;91;84,Yes,3
95,4,109;44;91;85,Yes,3
96,4,109;44;91;86,Yes,3
97,4,109;44;91;87,Yes,3
98,4,109;44;91;93,Yes,3
99,4,109;44;91;95,Yes,3
100,4,109;44;91;96,Yes,3
101,4,109;44;91;99,Yes,3
102,4,109;44;91;100,Yes,3
103,4,109;44;91;102,Yes,3
104,4,109;44;91;103,Yes,3
105,4,109;44;91;105,Yes,3
106,4,109;44;91;106,Yes,3
107,4,109;44;91;107,Yes,3
108,3,109;44;93,Yes,2
109,4,109;44;93;71,Yes,3
110,4,109;44;93;108,Yes,3
111,3,109;44;95,Yes,2
112,4,109;44;95;83,Yes,3
113,4,109;44;95;108,Yes,3
114,3,109;44;96,Yes,2
115,4,109;44;96;31,Yes,3
116,4,109;44;96;71,Yes,3
117,4,109;44;96;83,Yes,3
118,4,109;44;96;107,Yes,3
119,4,109;44;96;108,Yes,3
120,3,109;44;97,Yes,2
121,4,109;44;97;19,Yes,3
122,4,109;44;97;22,Yes,3
123,4,109;44;97;34,Yes,3
124,4,109;44;97;35,Yes,3
125,4,109;44;97;43,Yes,3
126,4,109;44;97;47,Yes,3
127,4,109;44;97;59,Yes,3
128,4,109;44;97;60,Yes,3
129,4,109;44;97;63,Yes,3
130,4,109;44;97;64,Yes,3
131,4,109;44;97;70,Yes,3
132,4,109;44;97;75,Yes,3
133,4,109;44;97;77,Yes,3
134,4,109;44;97;81,Yes,3
135,4,109;44;97;83,Yes,3
136,4,109;44;97;84,Yes,3
137,4,109;44;97;85,Yes,3
138,4,109;44;97;86,Yes,3
139,4,109;44;97;87,Yes,3
140,4,109;44;97;91,Yes,3
141,4,109;44;97;93,Yes,3
142,4,109;44;97;96,Yes,3
143,4,109;44;97;99,Yes,3
144,4,109;44;97;100,Yes,3
145,4,109;44;97;102,Yes,3
146,4,109;44;97;103,Yes,3
147,4,109;44;97;108,Yes,3
148,3,109;44;99,Yes,2
149,4,109;44;99;100,Yes,3
150,4,109;44;99;103,Yes,3
151,3,109;44;100,Yes,2
152,3,109;44;102,Yes,2
153,4,109;44;102;100,Yes,3
154,4,109;44;102;103,Yes,3
155,3,109;44;103,Yes,2
156,3,109;44;105,Yes,2
157,4,109;44;105;91,Yes,3
158,2,109;47,Yes,1
159,3,109;47;71,Yes,2
160,4,109;47;71;108,Yes,3
161,3,109;47;83,Yes,2
